enrollee_id,city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
9328,31,61,1,1,0,1,5,15,1,5,0,44,0
1503,49,84,1,1,0,1,5,15,1,5,0,16,1
8861,88,69,1,1,2,0,5,1,1,5,0,49,0
9880,48,81,1,0,2,0,5,21,4,5,4,132,0
12042,37,35,1,1,0,0,5,15,4,5,5,16,1
4028,7,52,1,0,0,0,5,16,0,5,5,61,0
11748,4,56,1,1,2,4,5,16,0,5,0,92,1
5315,30,77,1,0,2,2,5,5,3,5,4,15,0
8908,48,81,1,1,2,0,5,12,2,5,1,13,0
10915,5,84,1,0,2,2,5,21,4,5,0,27,0
9748,63,14,1,0,0,0,5,16,4,5,0,140,0
12419,30,77,1,0,2,2,5,17,1,5,3,44,0
4055,49,84,0,0,2,0,5,21,1,5,3,41,0
11481,13,89,1,0,2,2,5,21,4,5,0,11,0
8672,5,84,1,1,0,1,5,19,4,5,5,54,1
5061,88,69,1,0,2,2,5,18,1,5,1,31,0
1025,7,52,1,0,1,0,5,14,1,5,2,38,0
5045,109,31,1,1,0,0,5,14,1,5,5,235,0
10801,92,20,1,0,2,0,5,5,7,5,0,96,1
8744,94,66,0,1,0,0,5,13,7,5,0,20,0
4092,5,84,0,0,2,2,5,21,7,5,4,81,1
8840,63,14,1,1,2,0,5,15,3,5,5,27,1
6813,0,64,1,0,2,0,5,1,1,5,3,145,0
8452,5,84,1,1,2,3,4,21,1,5,4,3,0
5204,102,90,1,0,2,2,5,4,4,5,0,53,0
12434,102,90,1,1,0,0,5,15,4,5,5,47,0
9828,4,56,1,0,2,2,5,7,4,5,0,202,0
10179,5,84,1,1,2,1,5,14,4,5,5,28,0
7974,5,84,1,0,2,0,5,17,4,5,4,6,0
10642,5,84,1,0,0,0,5,14,1,5,0,32,0
425,13,89,1,0,2,1,5,4,1,5,4,115,0
12282,38,62,2,1,2,1,5,11,1,5,5,7,0
2236,5,84,1,0,2,0,5,3,5,5,0,71,0
10848,63,14,1,0,0,0,5,16,1,5,0,77,0
11848,2,72,1,1,2,0,2,6,1,4,4,85,0
9552,63,14,1,1,0,1,2,16,1,4,5,43,1
10789,5,84,1,0,2,0,3,6,1,4,1,29,0
3143,4,56,1,0,2,2,5,21,3,5,2,73,0
